"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"FBN00"	"FBN"	"Slutning av fistel från a. pulmonalis till förmak"	""	""	""	""	""	""
"FBN10"	"FBN"	"Slutning av arteriovenös fistel från a. pulmonalis"	""	""	""	""	""	""
"FBN96"	"FBN"	"Annan operation för fistel från a. pulmonalis"	""	""	""	""	""	""
"FBW"	"FB"	"Andra operationer på arteria pulmonalis och dess grenar"	""	""	""	""	""	""
"FBW96"	"FBW"	"Annan operation på a. pulmonalis eller dess grenar"	""	""	""	""	""	""
"FC"	"F"	"Operationer på torakala och torakoabdominala aorta"	""	""	""	""	"Anomalier"	""
"FC"	""	""	""	""	""	""	"Operationer på aorta ascendens, arcus och descendens, se kapitel V"	""
"FC"	""	""	""	""	""	""	"Operationer på aortaklaffen, se FM"	""
"FCA"	"FC"	"Rekonstruktioner av aorta ascendens"	""	""	""	""	"Slutning av förvärvad fistel, se FCE"	""
"FCA60"	"FCA"	"Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av klaffbärande kärlprotes"	""	""	""	"Bentall-deBono, Cabrol"	""	""
"FCA70"	"FCA"	"Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av biologisk klaff och kärlprotes"	""	""	""	"Bentall-deBono, Cabrol"	""	""
"FCA80"	"FCA"	"Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och med bibehållande av patientens egen aortaklaff"	""	""	""	"David"	""	""
"FCE"	"FC"	"Slutning av förvärvad fistel från aorta"	""	""	""	""	"Vid slutning av förvärvad fistel från bukaorta, se VBC"	""
"FCE00"	"FCE"	"Slutning av rupturerat sinus Valsalva-aneurysm"	""	""	""	""	""	""
"FCE10"	"FCE"	"Slutning av förvärvad aortovenös fistel"	""	""	""	""	""	""
"FCE20"	"FCE"	"Slutning av förvärvad aortopulmonal fistel"	""	""	""	""	""	""
"FCE30"	"FCE"	"Slutning av förvärvad aortobronkial fistel"	""	""	""	""	""	""
"FCE40"	"FCE"	"Slutning av förvärvad aortoenterisk fistel"	""	""	""	""	"Vid slutning av förvärvad fistel från bukaorta, se VBC"	""
"FCE96"	"FCE"	"Slutning av annan förvärvad fistel från torakala aorta"	""	""	""	""	""	""
"FD"	"F"	"Operationer för anomalier och defekter med relation till bröstaorta"	"HLHS = Hypoplastic left heart syndrome (syndrom med hypoplastisk vänsterkammare)"	""	""	""	"Aortopulmonal shunt, se FBL Shunt mellan aorta och a. pulmonalis"	""
"FD"	""	""	"IAA = Interrupted aortic arch (avbruten aortabåge)"	""	""	""	"Operationer på artärer avgående från aortabåge, exklusive aortopulmonell shunt, se kapitel V"	""
"FD"	""	""	"MAPCA = Multiple anomalous pulmonary collateral arteries (multipla kollateraler mellan aorta och a. pulmonalis)"	""	""	""	"Pulmonal kärlslynga , se FBH"	""
"FD"	""	""	"TGA = Transposition of the great arteries (transposition av aorta och a. pulmonalis"	""	""	""	"Unifokalisering vid MAPCA, se FBG"	""
"FD"	""	""	"VSD = Ventricular septal defect (kammarseptumdefekt)"	""	""	""	""	""
"FDA"	"FD"	"Operationer för HLHS (syndrom med hypoplastisk vänsterkammare)"	""	""	""	""	""	""
"FDA00"	"FDA"	"Aortaplastik och aortopulmonal shunt"	""	""	""	"Norwood steg 1"	""	""
"FDA10"	"FDA"	"Aortaplastik och ventrikulopulmonal shunt för HLHS"	""	""	""	"Norwood steg 1, Sano modifiering"	""	""
"FDA96"	"FDA"	"Annan operation för HLHS"	""	""	""	""	""	""
"FDB"	"FD"	"Operationer för TGA (transposition av aorta och a. pulmonalis)"	""	""	""	""	""	""
"FDB03"	"FDB"	"Artärswitch för TGA"	""	""	""	"Slutning av ductus arteriosus"	"Intraventrikulär switch kombinerad med extraventrikulär conduit (Rastelli, REV), se FHG20"	"Vid samtidig intraaterial switch (double switch), se FFJ"
"FDB03"	""	""	""	""	""	""	""	"Vid samtidig rekonstruktion av anomal koronarartär, se FNK"
"FDB03"	""	""	""	""	""	""	""	"Vid samtidig slutning av VSD, se FHB"
"FDB20"	"FDB"	"Switchoperation för annan medfödd hjärtmissbildning"	""	""	""	""	""	""
"FDB96"	"FDB"	"Annan operation för TGA"	""	""	""	""	""	""
"FDC"	"FD"	"Operationer för truncus arteriosus communis"	""	""	""	"Slutning av VSD"	""	""
"FDC00"	"FDC"	"Reparation av truncus arteriosus communis med protes utan klaff från höger kammare till a. pulmonalis"	""	""	""	""	""	""
"FDC10"	"FDC"	"Reparation av truncus arteriosus communis med klaffbärande protes"	""	""	""	""	""	""
"FDC20"	"FDC"	"Reparation av truncus arteriosus communis med anastomos från höger kammare till a. pulmonalis"	""	""	""	"Lecompte"	""	""
"FDC96"	"FDC"	"Annan reparation av truncus arteriosus communis"	""	""	""	""	""	""
"FDD"	"FD"	"Slutning av medfödd fistel från aorta"	""	""	""	""	""	""
"FDD00"	"FDD"	"Slutning av aortopulmonal tunnel"	""	""	""	""	""	""
"FDD10"	"FDD"	"Ligatur av aortopulmonalt fönster"	""	""	""	""	""	""
"FDD13"	"FDD"	"Slutning av aortopulmonalt fönster med sutur"	""	""	""	""	""	""
"FDD20"	"FDD"	"Slutning av aortopulmonalt fönster med patch"	""	""	""	""	""	""
"FDD96"	"FDD"	"Annan operation för kongenital fistel från aorta"	""	""	""	""	""	""
"FDF"	"FD"	"Slutning av aortopulmonala kollateraler"	""	""	""	""	"Unifokalisering, se FBG"	""
"FDF00"	"FDF"	"Slutning av aortopulmonala kollateraler"	""	""	""	""	""	""
"FDF05"	"FDF"	"Perkutan transluminal slutning av aortopulmonala kollateraler"	""	""	""	""	""	""
"FDG"	"FD"	"Operationer vid supravalvulär aortastenos"	""	""	""	""	""	""
"FDG00"	"FDG"	"Rekonstruktion av aorta ascendens vid supravalvulär aortastenos"	""	""	""	""	""	""
"FDG10"	"FDG"	"Rekonstruktion av aorta ascendens med patch vid supravalvulär aortastenos"	""	""	""	""	""	""
"FDG96"	"FDG"	"Annan operation vid supravalvulär aortastenos"	""	""	""	""	""	""
"FDH"	"FD"	"Rekonstruktioner vid hypoplasi och atresi av aortabågen"	""	""	""	""	""	""
"FDH00"	"FDH"	"End-to-end-rekonstruktion av aortabågen"	""	""	""	""	""	""
"FDH10"	"FDH"	"Rekonstruktion av aortabågen med patch"	""	""	""	""	""	""
"FDH30"	"FDH"	"Rekonstruktion av aortabågen med kärlprotes"	""	""	""	""	""	""
"FDH40"	"FDH"	"Rekonstruktion av aortabågen med bypass"	""	""	""	""	""	""
"FDH96"	"FDH"	"Annan rekonstruktion vid hypoplasi eller atresi av aortabågen"	""	""	""	""	""	""
"FDJ"	"FD"	"Rekonstruktioner vid aortakoarktation"	""	""	""	""	""	""
"FDJ00"	"FDJ"	"End-to-end-rekonstruktion vid aortakoarktation"	""	""	""	""	""	""
"FDJ10"	"FDJ"	"Aortaplastik med a. subclavia eller a. carotis"	""	""	""	"Waldhausen eller liknande"	""	""
"FDJ20"	"FDJ"	"Aortaplastik med patch"	""	""	""	"Vosschulte eller liknande"	""	""
"FDJ30"	"FDJ"	"Rekonstruktion vid aortakoarktation med kärlprotes"	""	""	""	""	""	""
"FDJ42"	"FDJ"	"Perkutan transluminal angioplastik vid aortakoarktation"	""	""	""	"Rekoarktation"	""	""
"FDJ96"	"FDJ"	"Annan rekonstruktion vid aortakoarktation"	""	""	""	""	""	""
"FDM"	"FD"	"Operationer för kärlringsanomali vid aortabågen"	""	""	""	""	""	""
"FDM00"	"FDM"	"Delning av dubbel aortabåge"	""	""	""	""	""	""
"FDM10"	"FDM"	"Delning av annan kärlringsanomali vid aortabågen"	""	""	""	""	""	""
"FDM11"	"FDM"	"Torakoskopisk delning av annan kärlringsanomali vid aortabågen"	""	""	""	""	""	""
"FDM20"	"FDM"	"Transposition av artärslynga"	""	""	""	"Av anomal truncus brachiocephalicus"	""	""
"FDM96"	"FDM"	"Annan operation för kärlringsanomali vid aortabågen"	""	""	""	""	""	""
"FDW"	"FD"	"Andra operationer för anomalier och defekter med relation till bröstaorta"	""	""	""	""	""	""
"FDW96"	"FDW"	"Annan operation för anomali eller defekt med relation till bröstaorta"	""	""	""	""	""	""
"FE"	"F"	"Operationer på perikardiet"	""	""	""	""	"Punktion, punktionsbiopsi och andra mindre ingrepp, se TF"	""
"FEA"	"FE"	"Slutet externt dränage av perikardiet"	""	""	""	""	""	""
"FEA00"	"FEA"	"Slutet externt dränage av perikardiet"	""	""	""	""	""	""
"FEB"	"FE"	"Perikardiotomi"	""	""	""	"Externt dränage"	""	""
"FEB00"	"FEB"	"Exploration av perikardiet"	""	""	""	""	""	""
"FEB10"	"FEB"	"Dekompression och dränage av perikardiet"	""	""	"T.ex. vid skada"	""	""	""
"FEB51"	"FEB"	"Torakoskopisk perikardiotomi"	""	""	""	""	""	""
"FEB96"	"FEB"	"Annan perikardiotomi"	""	""	""	""	""	""
"FEC"	"FE"	"Intern perikardiostomi"	""	""	""	""	""	""
"FEC00"	"FEC"	"Perikardio-pleurostomi"	""	""	"T.ex. vid hydroperikardium"	""	""	""
"FEC01"	"FEC"	"Torakoskopisk perikardio-pleurostomi"	""	""	""	""	""	""
"FEC10"	"FEC"	"Perikardio-peritoneostomi"	""	""	""	""	""	""
"FEC96"	"FEC"	"Annan intern perikardiostomi"	""	""	""	""	""	""
"FED"	"FE"	"Reparation av perikardiet"	""	""	""	""	""	""
"FED00"	"FED"	"Sutur av perikardiet"	""	""	""	"Reposition av hjärtat"	""	""
"FED03"	"FED"	"Rekonstruktion av perikardiet med patch"	""	""	""	""	""	""
"FED10"	"FED"	"Sutur av perikardiet och diafragma"	""	""	""	"Reposition av viscera"	""	""
"FED96"	"FED"	"Annan reparation av perikardiet"	""	""	""	""	""	""
"FEE"	"FE"	"Biopsier och excisioner av patologisk förändring i perikardiet"	""	""	""	""	""	""
"FEE00"	"FEE"	"Biopsi av perikardiet"	""	""	""	""	""	""
"FEE01"	"FEE"	"Torakoskopisk biopsi av perikardiet"	""	""	""	""	""	""
"FEE10"	"FEE"	"Excision av patologisk förändring i perikardiet"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"FEE96"	"FEE"	"Annan biopsi eller excision av patologisk förändring i perikardiet"	""	""	""	""	""	""
"FEF"	"FE"	"Resektioner och exstirpationer av perikardiet"	""	""	""	""	"Resektion av perikardiet vid utvidgad pneumektomi och utvidgad exstirpation av patologisk förändring i mediastinum, se GDD20 och GEB40"	""
"FEF00"	"FEF"	"Perikardektomi"	""	""	""	""	""	""
"FEF10"	"FEF"	"Subtotal perikardektomi"	""	""	""	""	""	""
"FEF20"	"FEF"	"Perikardektomi med dekortikation av hjärtytan"	""	""	""	""	""	""
"FEF31"	"FEF"	"Torakoskopisk perikardektomi"	""	""	""	""	""	""
"FEF96"	"FEF"	"Annan resektion eller exstirpation av perikardiet"	""	""	""	""	""	""
"FEW"	"FE"	"Andra operationer på perikardiet"	""	""	""	""	""	""
"FEW96"	"FEW"	"Annan operation på perikardiet"	""	""	""	""	""	""
"FF"	"F"	"Operationer på förmak, förmaksseptum och lungvener"	"ASD = Atrial septal defect (förmaksseptumdefekt)"	""	""	""	"Cavo-pulmonala anastomosoperationer, se FAE"	""
"FF"	""	""	"TAPVD = Totalt anomalt lungvendränage"	""	""	""	"Operationer på stora intratorakala vener, se FA"	""
"FF"	""	""	"TGA = Transposition of the great arteries (transposition av aorta och a. pulmonalis)"	""	""	""	""	""
"FFA"	"FF"	"Biopsier och excisioner av patologisk förändring i förmak"	""	""	""	"Avlägsnande av främmande kropp"	"Resektion av förmak vid utvidgad pulmektomi, se GDD20"	""
"FFA00"	"FFA"	"Biopsi av förmak"	""	""	""	""	""	""
"FFA02"	"FFA"	"Perkutan transluminal biopsi av förmak"	""	""	""	""	""	""
"FFA10"	"FFA"	"Excision av patologisk förändring i förmak"	""	""	""	""	""	""
"FFA20"	"FFA"	"Excision av tromber i förmak"	""	""	""	""	""	""
"FFA30"	"FFA"	"Avlägsnande av främmande kropp i förmak"	""	""	""	""	""	""
"FFA32"	"FFA"	"Perkutant transluminalt avlägsnande av främmande kropp från förmak"	""	""	""	""	""	""
"FFA96"	"FFA"	"Annan biopsi eller excision av patologisk förändring i förmak"	""	""	""	""	""	""
"FFB"	"FF"	"Reparationer av skada på förmak"	""	""	""	""	""	""
"FFB00"	"FFB"	"Sutur av förmak"	""	""	""	""	""	""
"FFB10"	"FFB"	"Rekonstruktion av förmak vid skada"	""	""	""	"Användande av patch"	""	""
"FFB96"	"FFB"	"Annan reparation av skada på förmak"	""	""	""	""	""	""
"FFC"	"FF"	"Slutning av isolerad förmaksseptumdefekt"	""	""	""	""	""	""
"FFC00"	"FFC"	"Sutur av ASD, sekundumtyp"	""	""	""	""	""	""
"FFC10"	"FFC"	"Sutur av ASD, sinus venosustyp"	""	""	""	""	""	""
"FFC22"	"FFC"	"Perkutan transluminal slutning av ASD, sekundumtyp"	""	""	""	"Användning av paraplyprotes"	""	""
"FFC32"	"FFC"	"Perkutan transluminal slutning av ASD, sinus venosustyp"	""	""	""	"Användning av paraplyprotes"	""	""
"FFC50"	"FFC"	"Slutning av ASD med patch, sekundumtyp"	""	""	""	""	""	""
"FFC60"	"FFC"	"Slutning av ASD med patch, sinus venosustyp"	""	""	""	""	""	""
"FFC96"	"FFC"	"Annan operation vid isolerad förmaksseptumdefekt"	""	""	""	""	""	""
"FFD"	"FF"	"Operationer vid inkomplett atrioventrikulär septumdefekt"	""	""	""	""	"Total atrioventrikulär septumdefekt, se FHD"	""
"FFD00"	"FFD"	"Sutur av inkomplett atrioventrikulär septumdefekt"	""	""	""	""	""	""
"FFD20"	"FFD"	"Slutning av inkomplett atrioventrikulär septumdefekt med patch"	""	""	""	""	""	""
"FFD96"	"FFD"	"Annan operation vid inkomplett atrioventrikulär septumdefekt"	""	""	""	""	""	""
"FFE"	"FF"	"Anläggande och förstoring av förmaksseptumdefekt"	""	""	""	""	""	""
"FFE00"	"FFE"	"Anläggande av ASD, slutet"	""	""	""	"Blalock-Hanlon"	""	""
"FFE02"	"FFE"	"Anläggande av ASD, perkutant transluminalt"	""	""	""	"Användning av ballongkateter"	""	""
"FFE02"	""	""	""	""	""	"Rashkind"	""	""
"FFE10"	"FFE"	"Anläggande eller förstoring av ASD, öppet"	""	""	""	""	""	""
"FFE96"	"FFE"	"Annan operation för atrioseptostomi"	""	""	""	""	""	""
"FFF"	"FF"	"Transponering av partiellt anomalt mynnande lungvener"	""	""	""	"Slutning av ASD"	""	""
"FFF00"	"FFF"	"Transponering med intraatrial patch"	""	""	""	""	""	""
"FFF10"	"FFF"	"Anläggande eller förstoring av ASD inkl. transponering med patch"	""	""	""	""	""	""
"FFF20"	"FFF"	"Anastomos till vänster förmak"	""	""	""	""	""	""
"FFF96"	"FFF"	"Annan operation vid partiellt anomalt mynnande lungvener"	""	""	""	""	""	""
"FFG"	"FF"	"Transponering av totalt anomalt mynnande lungvener"	""	""	""	"Slutning av ASD"	""	""
"FFG00"	"FFG"	"Reparation vid suprakardiell TAPVD"	""	""	""	""	""	""
"FFG10"	"FFG"	"Reparation vid kardiell TAPVD"	""	""	""	""	""	""
"FFG20"	"FFG"	"Reparation vid infrakardiell TAPVD"	""	""	""	""	""	""
"FFG30"	"FFG"	"Reparation vid blandad TAPVD"	""	""	""	""	""	""
"FFG96"	"FFG"	"Annan operation vid totalt anomalt mynnande lungvener"	""	""	""	""	""	""
"FFH"	"FF"	"Operationer för lungvensstenos"	""	""	""	""	""	""
"FFH00"	"FFH"	"Operation vid primär lungvensstenos"	""	""	""	""	""	""
"FFH10"	"FFH"	"Operation vid lungvensstenos efter tidigare korrigerad TAPVD"	""	""	""	""	""	""
"FFH22"	"FFH"	"Perkutan transluminal angioplastik av lungven"	""	""	""	""	""	""
"FFH25"	"FFH"	"Perkutan transluminal angioplastik av lungven med inläggande av stent"	""	""	""	""	""	""
"FFH96"	"FFH"	"Annan operation för lungvensstenos"	""	""	""	""	""	""
"FFJ"	"FF"	"Intraatrial korrektion av systemvenöst blodflöde"	""	""	""	"Vid TGA"	""	""
"FFJ00"	"FFJ"	"Intraatrial korrektion utan patch"	""	""	""	"Senning"	""	""
"FFJ10"	"FFJ"	"Intraatrial korrektion med patch"	""	""	""	"Mustard"	""	""
"FFJ96"	"FFJ"	"Annan intraatrial korrektion"	""	""	""	""	""	""
"FFK"	"FF"	"Atrial anastomosoperation"	""	""	""	"Användande av klaffar, rörproteser och slutning av ASD"	"Övriga Fontanoperationer, se FAE"	""
"FFK"	""	""	""	""	""	"Fontan"	""	""
"FFK10"	"FFK"	"Atrioventrikulär anastomos"	""	""	""	""	""	""
"FFK20"	"FFK"	"Atriopulmonell anastomos"	""	""	""	""	""	""
"FFK96"	"FFK"	"Annan atrial anastomosoperation"	""	""	""	""	""	""
"FFL"	"FF"	"Rekonstruktioner vid cor triatriatum"	""	""	""	"Slutning av ASD"	""	""
"FFL00"	"FFL"	"Resektion av intraatrialt membran"	""	""	""	""	""	""
"FFL10"	"FFL"	"Resektion av membran och slutning av ASD"	""	""	""	""	""	""
"FFL96"	"FFL"	"Annan rekonstruktion vid cor triatriatum"	""	""	""	""	""	""
"FFM"	"FF"	"Ocklusion av vänster förmaksöra"	""	""	""	""	""	""
"FFM02"	"FFM"	"Perkutan transluminal förslutning av vänster hjärtöra (LAAO)"	""	""	""	""	""	""
"FFM10"	"FFM"	"Öppen förslutning av vänster förmaksöra med sutur"	""	""	""	""	""	""
"FFM20"	"FFM"	"Öppen förslutning av vänster förmaksöra med device/stapler"	""	""	""	""	""	""
"FFW"	"FF"	"Andra operationer på förmak"	""	""	""	""	""	""
"FFW96"	"FFW"	"Annan operation på förmak"	""	""	""	""	""	""
"FG"	"F"	"Operationer på trikuspidalklaffen"	""	""	""	""	""	""
"FGA"	"FG"	"Rekonstruktioner av trikuspidalklaffen vid stenos"	""	""	""	""	""	""
"FGA00"	"FGA"	"Kommissurotomi vid kongenital stenos"	""	""	""	""	""	""
"FGA10"	"FGA"	"Kommissurotomi vid förvärvad stenos"	""	""	""	""	""	""
"FGA32"	"FGA"	"Perkutan transluminal vidgning av trikuspidalstenos"	""	""	""	""	""	""
"FGA96"	"FGA"	"Annan rekonstruktion av trikuspidalklaffen vid stenos"	""	""	""	""	""	""
"FGB"	"FG"	"Rekonstruktioner vid Ebsteins anomali"	""	""	""	""	""	""
"FGB00"	"FGB"	"Rekonstruktion med atrioventrikulär plikatur"	""	""	""	"Hardy"	""	""
"FGB10"	"FGB"	"Rekonstruktion med mobilisering och ventrikulär plikatur"	""	""	""	"Carpentier"	""	""
"FGB96"	"FGB"	"Annan rekonstruktion vid Ebsteins anomali"	""	""	""	""	""	""
"FGC"	"FG"	"Anuloplastik vid trikuspidalinsufficiens"	""	""	""	""	""	""
"FGC00"	"FGC"	"Anuloplastik med sutur"	""	""	""	"DeVega eller dylikt"	""	""
"FGC10"	"FGC"	"Anuloplastik med ring"	""	""	""	"Puig-Massana, Carpentier eller dylikt"	""	""
"FGC96"	"FGC"	"Annan anuloplastik vid trikuspidalinsufficiens"	""	""	""	""	""	""
"FGD"	"FG"	"Rekonstruktioner vid trikuspidalinsufficiens"	""	""	""	""	""	""
"FGD00"	"FGD"	"Rekonstruktion av trikuspidalklaff med sutur"	""	""	""	""	""	""
"FGD03"	"FGD"	"Sutur av defekt i trikuspidalklaffen"	""	""	""	""	""	""
"FGD10"	"FGD"	"Rekonstruktion av trikuspidalklaff med patch"	""	""	""	""	""	""
"FGD30"	"FGD"	"Rekonstruktion med sutur av papillarmuskel eller kordor"	""	""	""	""	""	""
"FGD40"	"FGD"	"Rekonstruktion med artificiella kordor"	""	""	""	""	""	""
"FGD96"	"FGD"	"Annan rekonstruktion vid trikuspidalinsufficiens"	""	""	""	""	""	""
"FGE"	"FG"	"Implantation av trikuspidalklaffprotes"	""	""	""	"Excision"	""	""
"FGE00"	"FGE"	"Implantation av mekanisk trikuspidalklaffprotes"	""	""	""	""	""	""
"FGE10"	"FGE"	"Implantation av biologisk trikuspidalklaffprotes"	""	""	""	""	""	""
"FGE20"	"FGE"	"Implantation av trikuspidalklaff, homograft"	""	""	""	""	""	""
"FGE96"	"FGE"	"Annan implantation av trikuspidalklaffprotes"	""	""	""	""	""	""
"FGW"	"FG"	"Andra operationer på trikuspidalisklaffen"	""	""	""	""	""	""
"FGW96"	"FGW"	"Annan operation på trikuspidalklaffen"	""	""	""	""	""	""
"FH"	"F"	"Operationer på kammarseptum"	"A-V = Atrio-Ventriculare (atrio-ventrikulär)"	""	""	""	""	""
"FH"	""	""	"DOLV = Double outlet left ventricle (dubbelt utflöde från vänster kammare)"	""	""	""	""	""
"FH"	""	""	"DORV = Double outlet right ventricle (dubbelt utflöde från höger kammare)"	""	""	""	""	""
"FH"	""	""	"VSD = Ventricular septal defect (kammarseptumdefekt)"	""	""	""	""	""
"FH"	""	""	"VSR = Ventricular septal rupture (kammarseptumruptur)"	""	""	""	""	""
"FHA"	"FH"	"Slutning av förvärvad kammarseptumdefekt"	""	""	"Vid skada, infarkt eller dylikt"	""	""	""
"FHA00"	"FHA"	"Slutning av VSD efter skada"	""	""	""	""	""	""
"FHA10"	"FHA"	"Slutning av VSD efter anteroseptal infarkt"	""	""	""	""	""	""
"FHA20"	"FHA"	"Slutning av VSD efter posteroseptal infarkt"	""	""	""	""	""	""
"FHA96"	"FHA"	"Annan slutning av förvärvad ventrikelseptumdefekt"	""	""	""	""	""	""
"FHB"	"FH"	"Slutning av medfödd kammarseptumdefekt"	""	""	""	""	""	""
"FHB00"	"FHB"	"Transatrial direktsutur av VSD"	""	""	""	""	""	""
"FHB10"	"FHB"	"Transventrikulär direktsutur av VSD"	""	""	""	""	""	""
"FHB20"	"FHB"	"Transpulmonal direktsutur av VSD"	""	""	""	""	""	""
"FHB30"	"FHB"	"Transaortal direktsutur av VSD"	""	""	""	""	""	""
"FHB40"	"FHB"	"Intraoperativ transluminal slutning av ventrikelseptumdefekt"	""	""	"Intraoperativ inläggning av paraplyprotes med extraventrikulär, men inte perkutan, teknik"	""	""	"Vid samtidig slutning av multipla ventrikelseptumdefekter, lägg till FHC-kod för slutning av multipel VSD"
"FHB42"	"FHB"	"Perkutan transluminal slutning av ventrikelseptumdefekt"	""	""	""	""	""	""
"FHB50"	"FHB"	"Transatrial slutning av VSD med patch"	""	""	""	""	""	""
"FHB60"	"FHB"	"Transventrikulär slutning av VSD med patch"	""	""	""	""	""	""
"FHB70"	"FHB"	"Transpulmonal slutning av VSD med patch"	""	""	""	""	""	""
"FHB80"	"FHB"	"Transaortal slutning av VSD med patch"	""	""	""	""	""	""
"FHB96"	"FHB"	"Annan slutning av medfödd ventrikelseptumdefekt"	""	""	""	""	""	""
"FHC"	"FH"	"Slutning av flera kammarseptumdefekter"	""	""	""	""	""	""
"FHC00"	"FHC"	"Transatrial slutning av multipla VSD"	""	""	""	""	""	""
"FHC10"	"FHC"	"Slutning av multipla VSD genom högersidig ventrikulotomi"	""	""	""	""	""	""
"FHC20"	"FHC"	"Slutning av multipla VSD genom vänstersidig ventrikulotomi"	""	""	""	""	""	""
"FHC30"	"FHC"	"Slutning av multipla VSD med kombinerad atriotomi och ventrikulotomi"	""	""	""	""	""	""
"FHC96"	"FHC"	"Annan slutning av multipla ventrikelseptumdefekter"	""	""	""	""	""	""
"FHD"	"FH"	"Reparation av total atrioventrikulär septumdefekt"	""	""	""	"Klaffplastik"	""	""
"FHD00"	"FHD"	"Reparation av total atrioventrikulär septumdefekt med atrioventrikulär patch"	""	""	""	""	""	""
"FHD03"	"FHD"	"Reparation av total atrioventrikulär septumdefekt med förmaksseptumpatch och sutur av ventrikelseptumdefekt"	""	""	""	""	""	""
"FHD10"	"FHD"	"Reparation av total atrioventrikulär septumdefekt med två-patch teknik"	""	""	""	""	""	""
"FHD30"	"FHD"	"Reparation av total atrioventrikulär septumdefekt med samtidig resektion av pulmonalisstenos"	""	""	""	""	""	""
"FHD96"	"FHD"	"Annan reparation av total atrioventrikulär septumdefekt"	""	""	""	""	""	""
"FHE"	"FH"	"Korrektion av Fallots tetrad"	""	""	""	"Slutning av VSD, resektion av pulmonalisstenos etc."	""	""
"FHE00"	"FHE"	"Transatrial korrektion av Fallots tetrad"	""	""	""	""	""	""
"FHE10"	"FHE"	"Transventrikulär korrektion av Fallots tetrad"	""	""	""	""	""	""
"FHE20"	"FHE"	"Transventrikulär korrektion av Fallots tetrad med utflödespatch"	""	""	""	""	""	""
